threshold,known_accept_rate,known_top1_accuracy_after_threshold,false_reject_rate,unknown_reject_rate,false_accept_rate
0.440000,0.8751854083619172,0.8529074348753128,0.12481459163808288,0.9531181963326721,0.04688180366732788
0.450000,0.8635452396403078,0.8416033188096783,0.13645476035969223,0.9540858290193043,0.04591417098069573
0.460000,0.850578242328729,0.8289202280522852,0.14942175767127097,0.9551986066089313,0.04480139339106875
0.470000,0.8369101696486512,0.8156171780847317,0.16308983035134886,0.9562146209298951,0.04378537907010499
0.480000,0.8222802910911282,0.8012654120700844,0.1777197089088718,0.95756930669118,0.042430693308819975
0.490000,0.805668860665616,0.785053768424956,0.19433113933438398,0.9586337026464754,0.0413662973535246
0.500000,0.7880666543061092,0.7677934087327338,0.2119333456938908,0.9597464802361024,0.04025351976389763
0.510000,0.7683554278297952,0.7485746732177622,0.23164457217020487,0.9608592578257293,0.039140742174270646
0.520000,0.7474680170575693,0.728156577361639,0.2525319829424307,0.9624074701243408,0.0375925298756592
0.530000,0.7249698711411885,0.7062030685083898,0.2750301288588115,0.9640524456916154,0.03594755430838454
0.540000,0.7012897469175859,0.6831429034949477,0.298710253082414,0.9655038947215637,0.03449610527843631
0.550000,0.6766709928617781,0.6593005469546677,0.32332900713822194,0.9669069621171803,0.033093037882819684
0.560000,0.6502850653564476,0.6335751367386669,0.3497149346435524,0.9683584111471285,0.03164158885287145
0.570000,0.6224506350236396,0.6064649578195976,0.37754936497636044,0.9705839663263826,0.029416033673617496
0.580000,0.5945698526003522,0.5793605729118383,0.4054301473996477,0.9722773235279888,0.027722676472011223
0.590000,0.5652115972930379,0.5508540372670807,0.43478840270696206,0.9739222990952634,0.026077700904736562
0.600000,0.5343990451469361,0.520812088625197,0.46560095485306385,0.9753737481252117,0.02462625187478833
0.610000,0.5025783350329099,0.48973880597014924,0.49742166496709,0.9775025400358024,0.02249745996419759
0.620000,0.4706243626587559,0.4586597293037916,0.529375637341244,0.9798248584837196,0.02017514151628042
0.630000,0.4380620190970613,0.42696069342727355,0.5619379809029387,0.981373070782331,0.018626929217668974
0.640000,0.40551126355798645,0.395296421618615,0.5944887364420135,0.9835018626929217,0.016498137307078234
0.650000,0.3733081486975063,0.3640261425790303,0.6266918513024937,0.9850016933572016,0.014998306642798394
0.660000,0.3403634003893576,0.33195049596736814,0.6596365996106425,0.9863563791184866,0.013643620881513378
0.670000,0.3074418281264485,0.2999212014461852,0.6925581718735515,0.9886303159320722,0.011369684067927814
0.680000,0.27717391304347827,0.2703891257995736,0.7228260869565217,0.9902269098650153,0.00977309013498476
0.690000,0.24802424214332067,0.24198688235839436,0.7519757578566794,0.9914364507233054,0.008563549276694567
0.700000,0.21904259757115047,0.21364837304162418,0.7809574024288496,0.9929846630219169,0.007015336978083119
0.710000,0.192395939556874,0.18761008621488828,0.8076040604431259,0.9941458222458754,0.005854177754124534
0.720000,0.16678640956707147,0.16263789746917587,0.8332135904329285,0.9949199283951812,0.005080071604818811
0.730000,0.1431584314452582,0.13964146658014276,0.8568415685547418,0.9956456529101553,0.004354347089844695
0.740000,0.12236951886530083,0.11941457309724668,0.8776304811346992,0.9969519570371087,0.0030480429628912866
0.750000,0.10301752109020117,0.10043918605729119,0.8969824789097989,0.9974841550147564,0.0025158449852436017
0.760000,0.08589042365810698,0.08378140354129972,0.914109576341893,0.9977260631864144,0.002273936813585563
0.770000,0.07091869843329934,0.06914573097246686,0.9290813015667007,0.9982582611640621,0.001741738835937878
0.780000,0.0580154352461296,0.0565785204412719,0.9419845647538704,0.9985001693357202,0.0014998306642798394
0.790000,0.046966255678131084,0.045749513303049966,0.9530337443218689,0.9987904591417098,0.001209540858290193
0.800000,0.03744090108463892,0.03642115509409474,0.9625590989153611,0.9989356040447046,0.0010643959552953698
